DATE,REEF,SITE,RESEARCH_SITE,BLEACHING_SURFACE_1,BLEACHING_POPULATION_1,DAMAGE_ANCHOR_1,DAMAGE_DYNAMITE_1,DAMAGE_OTHER_1,DISEASE_COLONIES_1,DISEASE_POPULATION_1,SCARS_COTS_1,SCARS_DRUPELLA_1,SCARS_UNKNOWN_1,FISHINGLINE_1,TRASH_FISHNETS_1,TRASH_GENERAL_1,RARE_ANIMALS_1,BLEACHING_SURFACE_2,BLEACHING_POPULATION_2,DAMAGE_ANCHOR_2,DAMAGE_DYNAMITE_2,DAMAGE_OTHER_2,DISEASE_COLONIES_2,DISEASE_POPULATION_2,SCARS_COTS_2,SCARS_DRUPELLA_2,SCARS_UNKNOWN_2,FISHINGLINE_2,TRASH_FISHNETS_2,TRASH_GENERAL_2,RARE_ANIMALS_2,BLEACHING_SURFACE_3,BLEACHING_POPULATION_3,DAMAGE_ANCHOR_3,DAMAGE_DYNAMITE_3,DAMAGE_OTHER_3,DISEASE_COLONIES_3,DISEASE_POPULATION_3,SCARS_COTS_3,SCARS_DRUPELLA_3,SCARS_UNKNOWN_3,FISHINGLINE_3,TRASH_FISHNETS_3,TRASH_GENERAL_3,RARE_ANIMALS_3,BLEACHING_SURFACE_4,BLEACHING_POPULATION_4,DAMAGE_ANCHOR_4,DAMAGE_DYNAMITE_4,DAMAGE_OTHER_4,DISEASE_COLONIES_4,DISEASE_POPULATION_4,SCARS_COTS_4,SCARS_DRUPELLA_4,SCARS_UNKNOWN_4,FISHINGLINE_4,TRASH_FISHNETS_4,TRASH_GENERAL_4,RARE_ANIMALS_4
21/12/2014 14:00,Currimundi Reef,Currimundi Reef,2,25,1,0,0,0,0,0,0,0,2,0,0,0,0,15,1,0,0,0,0,0,0,0,3,0,0,0,0,28,1,0,0,0,0,0,0,0,1,0,0,0,0,54,1,0,0,0,1,0,0,1,0,0,0,0,0
8/02/2014 11:00,Currimundi Reef,Currimundi Reef,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11/03/2016 16:00,Currimundi Reef,Currimundi Reef,2,42,15,0,0,1,0,0,0,0,8,0,0,0,0,38,5,0,0,1,0,0,0,0,2,0,0,0,0,77,5,0,0,0,0,0,0,0,3,0,0,0,0,46,5,0,0,3,0,0,0,0,2,0,0,0,0
28/01/2017 11:00,Currimundi Reef,Currimundi Reef,2,83,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,49,1,0,0,1,0,0,0,0,1,1,0,0,0,83,1,0,0,0,0,0,0,0,2,0,0,0,0
8/12/2012 10:00,Currimundi Reef,Currimundi Reef,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9/03/2019 10:40,Currimundi Reef,Currimundi Reef,2,23,1,0,0,0,0,0,0,1,0,0,0,0,0,57,5,0,0,0,0,0,0,0,1,0,0,0,0,54,1,0,0,0,2,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0
9/03/2019 8:45,Currimundi Reef,Currimundi Reef,3,27,5,0,0,1,0,0,0,0,0,1,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,3,0,0,0,1,0,0,0,0,72,5,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2007 0:00,Dead Mans Reef,Dead Mans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/04/2014 7:30,Dead Mans Reef,Dead Mans,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
14/10/2012 11:15,Flat Rock Island,Shark Gulley,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,40,1,0,0,0,0,0,0,0,0,0,0,0,0
